ax,ay,az
-28882,-1289,15522
-30122,-1292,15519
-30122,-1292,15519
-30839,-1344,15518
-31631,-1380,15494
-32218,-1368,15470
-32712,-1356,15471
-32764,-1360,15477
-32764,-1351,15468
-32764,-1366,15479
-32764,-1387,15521
-32764,-1394,15550
-32764,-1391,15553
-32764,-1372,15544
-32764,-1378,15517
-32764,-1368,15511
-32764,-1288,15561
-32321,-1212,15611
-31931,-1175,15623
-31278,-1141,15650
-30436,-1080,15716
-29769,-986,15763
-29183,-928,15752
-28220,-894,15750
-27019,-779,15808
-25951,-645,15866
-25951,-645,15866
-23520,-487,15948
-23520,-487,15948
-21986,-325,15873
-21986,-325,15873
-18448,-87,15998
-16945,-46,16093
-15962,-61,16118
-14723,-4,16138
-12964,-16,16192
-11135,102,16256
